FedEx Express U.S. Package Retail Counter Rates: FedEx 2Day®,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
FedEx® Envelope up to 8 oz.,$12.25 ,$12.50 ,$13.05 ,$14.40 ,$17.65 ,$18.45 ,$18.75 ,$27.70 ,$41.65 ,$15.40 
1,$12.25 ,$12.50 ,$13.05 ,$14.40 ,$17.65 ,$18.45 ,$18.75 ,$27.70 ,$41.65 ,$15.40 
2,$12.40 ,$12.75 ,$13.30 ,$15.35 ,$19.55 ,$21.30 ,$22.20 ,$30.90 ,$45.10 ,$16.30 
3,$12.45 ,$13.15 ,$14.05 ,$16.90 ,$22.45 ,$24.65 ,$25.45 ,$35.25 ,$48.20 ,$18.90 
4,$12.85 ,$13.60 ,$15.15 ,$19.65 ,$25.90 ,$28.05 ,$28.95 ,$37.65 ,$51.15 ,$22.40 
5,$13.20 ,$14.05 ,$16.50 ,$21.75 ,$28.85 ,$31.20 ,$33.00 ,$40.85 ,$53.95 ,$24.40 
6,$13.85 ,$14.60 ,$17.95 ,$23.75 ,$32.15 ,$34.70 ,$36.05 ,$43.35 ,$56.40 ,$27.50 
7,$14.35 ,$16.00 ,$19.45 ,$25.95 ,$36.05 ,$38.45 ,$39.60 ,$46.75 ,$58.75 ,$30.50 
8,$14.90 ,$17.45 ,$20.80 ,$28.20 ,$39.85 ,$42.40 ,$43.65 ,$49.15 ,$60.85 ,$32.00 
9,$15.70 ,$18.15 ,$22.35 ,$30.35 ,$43.35 ,$46.35 ,$47.90 ,$52.60 ,$64.50 ,$33.50 
10,$16.50 ,$19.35 ,$24.15 ,$32.35 ,$46.25 ,$50.45 ,$51.85 ,$56.95 ,$67.95 ,$35.10 
11,$17.20 ,$20.35 ,$25.30 ,$34.60 ,$49.95 ,$54.20 ,$56.10 ,$60.30 ,$71.35 ,$37.50 
12,$18.15 ,$21.50 ,$26.65 ,$36.50 ,$53.75 ,$58.00 ,$59.95 ,$62.55 ,$74.35 ,$40.00 
13,$19.35 ,$22.60 ,$27.70 ,$38.80 ,$57.30 ,$60.80 ,$63.40 ,$64.75 ,$77.05 ,$41.80 
14,$20.20 ,$23.80 ,$29.40 ,$41.00 ,$60.80 ,$64.00 ,$66.20 ,$67.35 ,$80.05 ,$43.45 
15,$21.05 ,$24.45 ,$30.85 ,$42.50 ,$64.00 ,$66.80 ,$69.30 ,$70.35 ,$82.75 ,$45.40 
16,$21.50 ,$25.20 ,$32.15 ,$43.90 ,$66.80 ,$70.25 ,$72.15 ,$73.35 ,$86.30 ,$47.20 
17,$22.25 ,$25.95 ,$33.55 ,$46.00 ,$69.80 ,$73.95 ,$75.55 ,$76.80 ,$89.45 ,$48.70 
18,$23.00 ,$26.85 ,$34.80 ,$47.65 ,$72.70 ,$77.25 ,$80.10 ,$81.35 ,$93.10 ,$50.50 
19,$23.80 ,$27.60 ,$35.80 ,$49.50 ,$75.35 ,$80.85 ,$82.60 ,$84.00 ,$96.55 ,$51.80 
20,$24.70 ,$28.80 ,$37.15 ,$51.85 ,$78.00 ,$83.55 ,$85.65 ,$86.95 ,$99.80 ,$53.30 
21,$25.85 ,$29.90 ,$38.60 ,$53.55 ,$80.85 ,$86.40 ,$89.55 ,$90.95 ,$102.50 ,$54.50 
22,$26.60 ,$31.35 ,$39.60 ,$55.10 ,$83.45 ,$89.60 ,$92.90 ,$94.40 ,$105.40 ,$56.30 
23,$27.25 ,$32.05 ,$41.05 ,$56.65 ,$86.40 ,$92.60 ,$96.35 ,$97.90 ,$108.65 ,$57.80 
24,$27.95 ,$33.25 ,$42.30 ,$58.75 ,$89.50 ,$96.20 ,$99.80 ,$101.35 ,$111.90 ,$59.30 
25,$28.80 ,$34.20 ,$43.20 ,$60.90 ,$92.45 ,$99.65 ,$103.25 ,$104.90 ,$115.15 ,$61.20 
26,$29.65 ,$35.05 ,$44.70 ,$62.80 ,$95.60 ,$103.00 ,$106.05 ,$107.75 ,$118.75 ,$62.70 
27,$30.60 ,$36.15 ,$45.90 ,$65.05 ,$98.85 ,$106.45 ,$109.30 ,$111.20 ,$121.85 ,$64.50 
28,$31.45 ,$37.35 ,$46.95 ,$66.65 ,$101.30 ,$109.20 ,$112.05 ,$114.75 ,$124.90 ,$66.30 
29,$32.40 ,$37.95 ,$48.30 ,$68.15 ,$104.05 ,$112.05 ,$115.30 ,$117.70 ,$128.15 ,$68.10 
30,$33.00 ,$39.05 ,$50.05 ,$70.30 ,$106.90 ,$115.00 ,$118.20 ,$121.30 ,$131.05 ,$69.90 
31,$33.95 ,$40.30 ,$51.40 ,$71.95 ,$109.30 ,$117.45 ,$121.40 ,$124.35 ,$134.10 ,$71.80 
32,$34.50 ,$41.25 ,$52.85 ,$73.65 ,$112.45 ,$120.70 ,$124.35 ,$128.25 ,$136.85 ,$73.60 
33,$35.45 ,$42.20 ,$54.25 ,$75.15 ,$115.55 ,$123.50 ,$127.45 ,$131.75 ,$139.55 ,$75.40 
34,$36.50 ,$43.00 ,$55.40 ,$77.85 ,$119.05 ,$126.50 ,$130.55 ,$135.20 ,$142.40 ,$77.20 
35,$37.25 ,$44.35 ,$56.65 ,$79.40 ,$122.55 ,$129.70 ,$133.80 ,$138.80 ,$145.70 ,$78.70 
36,$37.85 ,$45.35 ,$57.75 ,$81.05 ,$125.90 ,$133.80 ,$137.15 ,$142.10 ,$148.95 ,$80.50 
37,$38.55 ,$46.00 ,$59.20 ,$83.10 ,$129.35 ,$137.35 ,$140.80 ,$145.75 ,$152.20 ,$82.30 
38,$39.15 ,$46.75 ,$60.65 ,$84.80 ,$132.70 ,$140.95 ,$144.60 ,$149.10 ,$155.60 ,$84.20 
39,$40.45 ,$47.90 ,$61.65 ,$86.45 ,$135.75 ,$144.60 ,$148.45 ,$152.65 ,$158.50 ,$85.90 
40,$41.45 ,$49.15 ,$63.10 ,$88.40 ,$138.85 ,$148.20 ,$151.80 ,$155.60 ,$161.95 ,$87.25 
41,$42.50 ,$50.35 ,$63.80 ,$90.05 ,$142.10 ,$152.05 ,$155.85 ,$159.05 ,$165.20 ,$89.30 
42,$43.20 ,$51.55 ,$65.20 ,$91.90 ,$145.10 ,$155.85 ,$159.75 ,$162.75 ,$168.45 ,$90.80 
43,$44.15 ,$52.60 ,$66.05 ,$93.40 ,$148.45 ,$158.75 ,$163.05 ,$165.70 ,$171.70 ,$92.30 
44,$44.90 ,$53.30 ,$67.60 ,$95.10 ,$151.30 ,$161.40 ,$166.35 ,$169.00 ,$174.95 ,$93.90 
45,$45.90 ,$54.50 ,$68.55 ,$96.50 ,$154.00 ,$164.35 ,$168.75 ,$171.45 ,$178.20 ,$95.40 
46,$46.45 ,$55.20 ,$70.00 ,$97.95 ,$156.75 ,$167.10 ,$172.85 ,$175.60 ,$181.45 ,$97.20 
47,$47.45 ,$56.20 ,$71.20 ,$99.30 ,$159.75 ,$169.70 ,$176.20 ,$178.95 ,$184.75 ,$99.00 
48,$48.30 ,$57.55 ,$72.50 ,$100.75 ,$162.60 ,$172.60 ,$179.15 ,$182.00 ,$187.75 ,$100.80 
49,$49.25 ,$58.95 ,$73.70 ,$102.50 ,$165.30 ,$175.10 ,$182.55 ,$185.45 ,$190.85 ,$102.60 
50,$50.10 ,$59.70 ,$74.90 ,$104.20 ,$168.15 ,$177.70 ,$185.45 ,$188.35 ,$193.95 ,$104.40 
51,$50.80 ,$60.30 ,$76.05 ,$105.70 ,$171.00 ,$181.05 ,$188.60 ,$191.65 ,$197.00 ,$106.00 
52,$51.40 ,$61.35 ,$77.50 ,$108.25 ,$173.55 ,$184.25 ,$191.90 ,$195.00 ,$200.10 ,$107.50 
53,$52.35 ,$62.55 ,$78.50 ,$109.90 ,$176.20 ,$187.55 ,$194.30 ,$197.40 ,$202.95 ,$108.70 
54,$53.05 ,$63.55 ,$79.70 ,$111.55 ,$179.15 ,$191.25 ,$197.25 ,$200.35 ,$206.05 ,$110.20 
55,$54.15 ,$64.55 ,$80.70 ,$113.60 ,$182.30 ,$194.85 ,$200.15 ,$203.35 ,$209.10 ,$111.70 
56,$54.90 ,$65.45 ,$81.85 ,$115.45 ,$185.10 ,$197.95 ,$203.75 ,$207.05 ,$212.20 ,$113.20 
57,$55.60 ,$66.50 ,$83.25 ,$117.10 ,$188.30 ,$201.25 ,$207.45 ,$210.70 ,$215.45 ,$114.70 
58,$56.65 ,$67.60 ,$84.75 ,$119.00 ,$191.90 ,$204.65 ,$210.65 ,$213.95 ,$218.50 ,$116.00 
59,$57.30 ,$68.35 ,$86.35 ,$121.10 ,$195.50 ,$208.05 ,$214.05 ,$217.45 ,$221.75 ,$117.50 
60,$57.85 ,$69.05 ,$87.65 ,$122.85 ,$198.90 ,$211.50 ,$216.70 ,$220.15 ,$225.05 ,$119.00 
61,$58.95 ,$70.00 ,$88.85 ,$124.40 ,$201.80 ,$213.95 ,$220.25 ,$223.75 ,$227.70 ,$121.10 
62,$60.00 ,$71.30 ,$89.95 ,$126.35 ,$204.65 ,$217.60 ,$224.10 ,$227.65 ,$231.30 ,$122.60 
63,$61.00 ,$72.50 ,$91.00 ,$128.15 ,$207.60 ,$221.20 ,$228.40 ,$232.05 ,$234.90 ,$124.40 
64,$62.00 ,$73.60 ,$92.10 ,$129.85 ,$210.65 ,$224.75 ,$231.35 ,$235.05 ,$238.70 ,$125.90 
65,$62.90 ,$74.65 ,$93.45 ,$131.80 ,$213.90 ,$228.45 ,$235.60 ,$239.30 ,$242.45 ,$127.60 
66,$63.75 ,$75.30 ,$94.85 ,$133.90 ,$217.30 ,$231.35 ,$239.55 ,$243.35 ,$246.05 ,$129.60 
67,$64.35 ,$76.80 ,$96.25 ,$136.10 ,$220.00 ,$234.70 ,$243.05 ,$246.95 ,$249.65 ,$131.30 
68,$65.10 ,$77.50 ,$97.55 ,$138.40 ,$223.05 ,$237.85 ,$246.15 ,$250.00 ,$253.10 ,$133.10 
69,$66.15 ,$78.55 ,$98.95 ,$140.95 ,$225.75 ,$241.20 ,$250.35 ,$254.40 ,$256.70 ,$135.30 
70,$67.15 ,$79.75 ,$100.50 ,$143.40 ,$228.45 ,$244.20 ,$253.20 ,$257.20 ,$260.30 ,$136.80 
71,$68.10 ,$80.90 ,$101.75 ,$145.35 ,$231.55 ,$246.95 ,$256.55 ,$260.60 ,$264.60 ,$138.60 
72,$68.90 ,$82.35 ,$103.15 ,$147.60 ,$234.70 ,$250.50 ,$260.35 ,$264.45 ,$268.90 ,$140.20 
73,$69.55 ,$83.05 ,$104.60 ,$150.05 ,$238.10 ,$253.90 ,$263.30 ,$267.50 ,$273.25 ,$142.50 
74,$70.50 ,$84.05 ,$105.95 ,$152.00 ,$241.30 ,$257.75 ,$267.35 ,$271.60 ,$276.65 ,$144.30 
75,$71.55 ,$85.40 ,$107.30 ,$154.10 ,$244.55 ,$261.25 ,$270.85 ,$275.05 ,$279.70 ,$145.90 
76,$72.25 ,$86.40 ,$108.50 ,$155.85 ,$246.00 ,$265.00 ,$273.75 ,$278.10 ,$282.80 ,$147.70 
77,$73.50 ,$87.55 ,$109.80 ,$157.80 ,$251.25 ,$268.10 ,$277.15 ,$281.55 ,$285.85 ,$149.30 
78,$74.20 ,$88.25 ,$111.55 ,$160.15 ,$254.65 ,$271.50 ,$279.35 ,$283.75 ,$289.10 ,$151.40 
79,$75.10 ,$89.30 ,$112.90 ,$162.40 ,$258.00 ,$274.60 ,$284.10 ,$288.50 ,$292.10 ,$153.50 
80,$76.25 ,$90.35 ,$114.55 ,$164.45 ,$261.25 ,$278.05 ,$287.50 ,$292.05 ,$295.35 ,$154.70 
81,$76.90 ,$91.45 ,$115.80 ,$166.60 ,$264.25 ,$281.05 ,$290.45 ,$295.00 ,$298.60 ,$156.80 
82,$77.75 ,$92.50 ,$117.15 ,$168.75 ,$267.30 ,$284.95 ,$294.30 ,$299.05 ,$302.05 ,$158.30 
83,$78.30 ,$93.60 ,$118.60 ,$170.20 ,$270.30 ,$288.75 ,$297.80 ,$302.45 ,$305.30 ,$160.40 
84,$79.30 ,$94.85 ,$119.65 ,$171.70 ,$273.35 ,$292.60 ,$300.70 ,$305.50 ,$308.65 ,$162.10 
85,$80.25 ,$96.10 ,$120.85 ,$174.40 ,$276.40 ,$296.60 ,$304.00 ,$308.85 ,$312.10 ,$164.00 
86,$81.40 ,$97.05 ,$122.25 ,$176.50 ,$279.25 ,$300.45 ,$307.50 ,$312.45 ,$315.35 ,$165.40 
87,$82.00 ,$98.10 ,$123.65 ,$178.45 ,$282.30 ,$304.00 ,$310.60 ,$315.45 ,$318.80 ,$167.70 
88,$82.65 ,$99.20 ,$125.15 ,$180.10 ,$285.20 ,$307.50 ,$314.00 ,$318.95 ,$322.20 ,$169.80 
89,$83.60 ,$99.90 ,$126.35 ,$181.80 ,$288.30 ,$311.15 ,$318.00 ,$323.00 ,$325.45 ,$171.30 
90,$85.00 ,$100.85 ,$127.55 ,$183.70 ,$291.85 ,$314.70 ,$321.35 ,$326.40 ,$328.65 ,$173.20 
91,$86.20 ,$102.20 ,$128.90 ,$186.05 ,$294.90 ,$318.70 ,$324.80 ,$330.00 ,$332.10 ,$174.80 
92,$87.30 ,$103.20 ,$130.20 ,$188.00 ,$297.80 ,$322.05 ,$328.10 ,$333.25 ,$335.15 ,$176.60 
93,$87.95 ,$104.70 ,$131.75 ,$189.65 ,$301.15 ,$325.45 ,$331.30 ,$336.55 ,$338.35 ,$178.50 
94,$88.75 ,$105.35 ,$133.20 ,$191.25 ,$304.05 ,$328.55 ,$335.05 ,$340.35 ,$341.45 ,$180.70 
95,$89.45 ,$106.45 ,$134.45 ,$193.30 ,$307.25 ,$331.50 ,$337.80 ,$343.10 ,$344.70 ,$182.20 
96,$90.10 ,$107.15 ,$135.60 ,$195.00 ,$309.80 ,$334.55 ,$341.35 ,$346.80 ,$347.75 ,$183.80 
97,$91.00 ,$107.80 ,$136.85 ,$196.55 ,$312.75 ,$337.75 ,$344.65 ,$350.15 ,$350.65 ,$185.50 
98,$91.85 ,$107.85 ,$137.80 ,$198.20 ,$315.65 ,$341.75 ,$347.65 ,$353.10 ,$353.70 ,$187.60 
99,$92.65 ,$107.95 ,$138.40 ,$198.30 ,$318.75 ,$343.70 ,$350.75 ,$356.25 ,$356.95 ,$189.30 
100,$94.00 ,$108.00 ,$139.00 ,$199.00 ,$320.00 ,$344.00 ,$352.00 ,$358.00 ,$361.00 ,$191.00 
101,$94.94 ,$109.08 ,$140.39 ,$200.99 ,$323.20 ,$347.44 ,$355.52 ,$361.58 ,$364.61 ,$192.91 
102,$95.88 ,$110.16 ,$141.78 ,$202.98 ,$326.40 ,$350.88 ,$359.04 ,$365.16 ,$368.22 ,$194.82 
103,$96.82 ,$111.24 ,$143.17 ,$204.97 ,$329.60 ,$354.32 ,$362.56 ,$368.74 ,$371.83 ,$196.73 
104,$97.76 ,$112.32 ,$144.56 ,$206.96 ,$332.80 ,$357.76 ,$366.08 ,$372.32 ,$375.44 ,$198.64 
105,$98.70 ,$113.40 ,$145.95 ,$208.95 ,$336.00 ,$361.20 ,$369.60 ,$375.90 ,$379.05 ,$200.55 
106,$99.64 ,$114.48 ,$147.34 ,$210.94 ,$339.20 ,$364.64 ,$373.12 ,$379.48 ,$382.66 ,$202.46 
107,$100.58 ,$115.56 ,$148.73 ,$212.93 ,$342.40 ,$368.08 ,$376.64 ,$383.06 ,$386.27 ,$204.37 
108,$101.52 ,$116.64 ,$150.12 ,$214.92 ,$345.60 ,$371.52 ,$380.16 ,$386.64 ,$389.88 ,$206.28 
109,$102.46 ,$117.72 ,$151.51 ,$216.91 ,$348.80 ,$374.96 ,$383.68 ,$390.22 ,$393.49 ,$208.19 
110,$103.40 ,$118.80 ,$152.90 ,$218.90 ,$352.00 ,$378.40 ,$387.20 ,$393.80 ,$397.10 ,$210.10 
111,$104.34 ,$119.88 ,$154.29 ,$220.89 ,$355.20 ,$381.84 ,$390.72 ,$397.38 ,$400.71 ,$212.01 
112,$105.28 ,$120.96 ,$155.68 ,$222.88 ,$358.40 ,$385.28 ,$394.24 ,$400.96 ,$404.32 ,$213.92 
113,$106.22 ,$122.04 ,$157.07 ,$224.87 ,$361.60 ,$388.72 ,$397.76 ,$404.54 ,$407.93 ,$215.83 
114,$107.16 ,$123.12 ,$158.46 ,$226.86 ,$364.80 ,$392.16 ,$401.28 ,$408.12 ,$411.54 ,$217.74 
115,$108.10 ,$124.20 ,$159.85 ,$228.85 ,$368.00 ,$395.60 ,$404.80 ,$411.70 ,$415.15 ,$219.65 
116,$109.04 ,$125.28 ,$161.24 ,$230.84 ,$371.20 ,$399.04 ,$408.32 ,$415.28 ,$418.76 ,$221.56 
117,$109.98 ,$126.36 ,$162.63 ,$232.83 ,$374.40 ,$402.48 ,$411.84 ,$418.86 ,$422.37 ,$223.47 
118,$110.92 ,$127.44 ,$164.02 ,$234.82 ,$377.60 ,$405.92 ,$415.36 ,$422.44 ,$425.98 ,$225.38 
119,$111.86 ,$128.52 ,$165.41 ,$236.81 ,$380.80 ,$409.36 ,$418.88 ,$426.02 ,$429.59 ,$227.29 
120,$112.80 ,$129.60 ,$166.80 ,$238.80 ,$384.00 ,$412.80 ,$422.40 ,$429.60 ,$433.20 ,$229.20 
121,$113.74 ,$130.68 ,$168.19 ,$240.79 ,$387.20 ,$416.24 ,$425.92 ,$433.18 ,$436.81 ,$231.11 
122,$114.68 ,$131.76 ,$169.58 ,$242.78 ,$390.40 ,$419.68 ,$429.44 ,$436.76 ,$440.42 ,$233.02 
123,$115.62 ,$132.84 ,$170.97 ,$244.77 ,$393.60 ,$423.12 ,$432.96 ,$440.34 ,$444.03 ,$234.93 
124,$116.56 ,$133.92 ,$172.36 ,$246.76 ,$396.80 ,$426.56 ,$436.48 ,$443.92 ,$447.64 ,$236.84 
125,$117.50 ,$135.00 ,$173.75 ,$248.75 ,$400.00 ,$430.00 ,$440.00 ,$447.50 ,$451.25 ,$238.75 
126,$118.44 ,$136.08 ,$175.14 ,$250.74 ,$403.20 ,$433.44 ,$443.52 ,$451.08 ,$454.86 ,$240.66 
127,$119.38 ,$137.16 ,$176.53 ,$252.73 ,$406.40 ,$436.88 ,$447.04 ,$454.66 ,$458.47 ,$242.57 
128,$120.32 ,$138.24 ,$177.92 ,$254.72 ,$409.60 ,$440.32 ,$450.56 ,$458.24 ,$462.08 ,$244.48 
129,$121.26 ,$139.32 ,$179.31 ,$256.71 ,$412.80 ,$443.76 ,$454.08 ,$461.82 ,$465.69 ,$246.39 
130,$122.20 ,$140.40 ,$180.70 ,$258.70 ,$416.00 ,$447.20 ,$457.60 ,$465.40 ,$469.30 ,$248.30 
