Express Mail International,,,,,,,,,,

Weight Not Over (lbs.),1,2,3,4,5,6,7,8,9,10
0.5,26.95,26.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95
1,31.5,30.5,33,32.5,33.5,32.5,35.5,35,34,33.5
2,35,34.25,37.75,36.75,38,37,40.25,39.75,38.5,39
3,38.5,38,42.5,41,42.5,41.5,45,44.5,43,44.5
4,42,41.75,47.25,45.25,47,46,49.75,49.25,47.5,50
5,45.5,45.5,52,49.5,51.5,50.5,54.5,54,52,55.75
6,49,49.25,56.75,53.75,56,55.75,59.75,59.75,57.25,61.5
7,52.5,53,61.5,58,60.5,61,65,65.5,62.5,67.25
8,56,56.75,66.25,62.25,65,66.25,70.25,71.25,67.75,73
9,59.5,60.5,71,66.5,69.5,71.5,75.5,77,73,78.75
10,63,64.25,75.75,70.75,74,76.75,80.75,82.75,78.25,84.5
11,66.5,67,81,75,78.5,82.5,86.5,88.5,83.5,90.25
12,70,69.75,86.25,79.25,83,88.25,92.25,94.25,88.75,96
13,73.5,72.5,91.5,83.5,87.5,94,98,100,94,101.75
14,77,75.25,96.75,87.75,92,99.75,103.75,105.75,99.25,107.5
15,80.5,78,102,92,96.5,105.5,109.5,111.5,104.5,113.25
16,84,80.75,107.75,96.25,101,111.25,115.25,117.25,109.75,119.5
17,87.5,83.5,113.5,100.5,105.5,117,121,123,115,125.75
18,91,86.25,119.25,104.75,110,122.75,126.75,128.75,120.25,132
19,94.5,89,125,109,114.5,128.5,132.5,134.5,125.5,138.25
20,98,91.75,130.75,113.25,119,134.25,138.25,140.25,130.75,144.5
21,101.5,94.5,136.5,117.5,123.5,140,144,146,136,150.75
22,105,97.25,142.25,121.75,128,145.75,149.75,151.75,141.25,157
23,108.5,100,148,126,132.5,151.5,155.5,157.5,146.5,163.25
24,112,102.75,153.75,130.25,137,157.25,161.25,163.25,151.75,169.5
25,115.5,105.5,159.5,134.5,141.5,163,167,169,157,175.75
26,119,108.25,165.25,138.75,146,168.75,172.75,174.75,162.25,182
27,122.5,111,171,143,150.5,174.5,178.5,180.5,167.5,188.25
28,126,113.75,176.75,147.25,155,180.25,184.25,186.25,172.75,194.5
29,129.5,116.5,182.5,151.5,159.5,186,190,192,178,200.75
30,133,119.25,188.25,155.75,164,191.75,195.75,197.75,183.25,207
31,136.5,122,194,160,168.5,197.5,201.5,203.5,188.5,213.25
32,140,124.75,199.75,164.25,173,203.25,207.25,209.25,193.75,219.5
33,143.5,127.5,205.5,168.5,177.5,209,213,215,199,225.75
34,147,130.25,211.25,172.75,182,214.75,218.75,220.75,204.25,232
35,150.5,133,217,177,186.5,220.5,224.5,226.5,209.5,238.25
36,154,135.75,222.75,181.25,191,226.25,230.25,232.25,214.75,244.5
37,157.5,138.5,228.5,185.5,195.5,232,236,238,220,250.75
38,161,141.25,234.25,189.75,200,237.75,241.75,243.75,225.25,257
39,164.5,144,240,194,204.5,243.5,247.5,249.5,230.5,263.25
40,168,146.75,245.75,198.25,209,249.25,253.25,255.25,235.75,269.5
41,171.5,150,251.5,202.5,213.5,254.75,259,261,241,275.75
42,175,153.25,257.25,206.75,218,260.25,264.75,266.75,246.25,282
43,178.5,156.5,263,211,222.5,265.75,270.5,272.5,251.5,288.25
44,182,159.75,268.75,215.25,227,271.25,276.25,278.25,256.75,294.5
45,185.5,-,274.5,219.5,231.5,276.75,282,284,262,300.75
46,189,-,280.25,223.75,236,282.25,287.75,289.75,267.25,307
47,192.5,-,286,228,240.5,287.75,293.5,295.5,272.5,313.25
48,196,-,291.75,232.25,245,293.25,299.25,301.25,277.75,319.5
49,199.5,-,297.5,236.5,249.5,298.75,305,307,283,325.75
50,203,-,303.25,240.75,254,304.25,310.75,312.75,288.25,332
51,206.5,-,309,245,258.5,309.75,316.5,318.5,293.5,338.25
52,210,-,314.75,249.25,263,315.25,322.25,324.25,298.75,344.5
53,213.5,-,320.5,253.5,267.5,320.75,328,330,304,350.75
54,217,-,326.25,257.75,272,326.25,333.75,335.75,309.25,357
55,220.5,-,332,262,276.5,331.75,339.5,341.5,314.5,363.25
56,224,-,337.75,266.25,281,337.25,345.25,347.25,319.75,369.5
57,227.5,-,343.5,270.5,285.5,342.75,351,353,325,375.75
58,231,-,349.25,274.75,290,348.25,356.75,358.75,330.25,382
59,234.5,-,355,279,294.5,353.75,362.5,364.5,335.5,388.25
60,238,-,360.75,283.25,299,359.25,368.25,370.25,340.75,394.5
61,241.5,-,366.5,287.5,303.5,364.75,374,376,346,400.75
62,245,-,372.25,291.75,308,370.25,379.75,381.75,351.25,407
63,248.5,-,378,296,312.5,375.75,385.5,387.5,356.5,413.25
64,252,-,383.75,300.25,317,381.25,391.25,393.25,361.75,419.5
65,255.5,-,389.5,304.5,321.5,386.75,397,399,367,425.75
66,259,-,395.25,308.75,326,392.25,402.75,404.75,372.25,432
67,-,-,401,313,330.5,397.75,408.5,410.5,377.5,-
68,-,-,406.75,317.25,335,403.25,414.25,416.25,382.75,-
69,-,-,412.5,321.5,339.5,408.75,420,422,388,-
70,-,-,418.25,325.75,344,414.25,425.75,427.75,393.25,-
Flat-Rate Envelope,26.95,26.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95
