EXPRESS MAIL INTERNATIONAL - COMMERCIAL BASE,,,,,,,,,,,,,,,,,

Weight Not Over (lb.),Price Groups,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.5,24.79,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55
1,29.90,31.05,31.74,31.28,31.97,31.28,33.81,33.35,32.43,32.66,31.97,31.74,31.97,31.74,32.43,31.97,31.97
2,33.26,34.59,36.29,35.28,36.34,35.65,38.27,37.90,36.89,37.67,36.39,36.29,36.34,36.20,36.80,36.39,36.29
3,36.62,38.13,40.85,39.28,40.71,40.02,42.73,42.46,41.35,42.69,40.80,40.85,40.71,40.66,41.17,40.80,40.62
4,39.97,41.68,45.40,43.29,45.08,44.39,47.20,47.01,45.82,47.70,45.22,45.40,45.08,45.13,45.54,45.22,44.94
5,43.33,45.22,49.96,47.29,49.45,48.76,51.66,51.57,50.28,53.08,49.63,49.96,49.45,49.59,49.91,49.63,49.27
6,46.78,48.12,54.51,51.29,53.64,53.77,56.86,56.86,55.20,58.47,53.64,54.51,53.45,54.05,54.74,53.59,53.27
7,50.23,51.01,59.06,55.29,57.82,58.79,62.05,62.15,60.12,63.85,57.64,59.06,57.45,58.51,59.57,57.55,57.27
8,53.68,53.91,63.62,59.29,62.01,63.80,67.25,67.44,65.04,69.23,61.64,63.62,61.46,62.97,64.40,61.50,61.27
9,57.13,56.81,68.17,63.30,66.19,68.82,72.45,72.73,69.97,74.61,65.64,68.17,65.46,67.44,69.23,65.46,65.27
10,60.58,59.71,72.73,67.30,70.38,73.83,77.65,78.02,74.89,79.99,69.64,72.73,69.46,71.90,74.06,69.41,69.28
11,63.85,62.15,77.56,71.21,74.57,78.94,82.85,83.31,79.72,85.38,73.65,77.37,73.46,76.73,78.80,73.37,73.28
12,67.11,64.58,82.39,75.12,78.75,84.04,88.04,88.60,84.55,90.76,77.65,82.02,77.46,81.56,83.54,77.33,77.28
13,70.38,67.02,87.22,79.03,82.94,89.15,93.24,93.89,89.38,96.14,81.65,86.66,81.47,86.39,88.27,81.28,81.28
14,73.65,69.46,92.05,82.94,87.12,94.25,98.44,99.18,94.21,101.52,85.65,91.31,85.47,91.22,93.01,85.24,85.28
15,76.91,71.90,96.88,86.85,91.31,99.36,103.64,104.47,99.04,106.90,89.65,95.96,89.47,96.05,97.75,89.19,89.29
16,80.18,74.34,102.17,90.76,95.50,104.47,108.84,109.76,103.87,112.47,93.66,101.15,93.47,101.25,102.49,93.15,93.29
17,83.44,76.77,107.46,94.67,99.68,109.57,114.03,115.05,108.70,118.04,97.66,106.35,97.47,106.44,107.23,97.11,97.29
18,86.71,79.21,112.75,98.58,103.87,114.68,119.23,120.34,113.53,123.60,101.66,111.55,101.48,111.64,111.96,101.06,101.29
19,89.98,81.65,118.04,102.49,108.05,119.78,124.43,125.63,118.36,129.17,105.66,116.75,105.48,116.84,116.70,105.02,105.29
20,93.24,84.09,123.33,106.40,112.24,124.89,129.63,130.92,123.19,134.73,109.66,121.95,109.48,122.04,121.44,108.97,109.30
21,96.51,86.53,128.62,110.31,116.43,130.00,134.83,136.21,128.02,140.30,113.67,127.14,113.48,127.24,126.18,112.93,113.30
22,99.77,88.96,133.91,114.22,120.61,135.10,140.02,141.50,132.85,145.87,117.67,132.34,117.48,132.43,130.92,116.89,117.30
23,103.04,91.40,139.20,118.13,124.80,140.21,145.22,146.79,137.68,151.43,121.67,137.54,121.49,137.63,135.65,120.84,121.30
24,106.31,93.84,144.49,122.04,128.98,145.31,150.42,152.08,142.51,157.00,125.67,142.74,125.49,142.83,140.39,124.80,125.30
25,109.57,96.28,149.78,125.95,133.17,150.42,155.62,157.37,147.34,162.56,129.67,147.94,129.49,148.03,145.13,128.75,129.31
26,112.84,98.72,155.07,129.86,137.36,155.53,160.82,162.66,152.17,168.13,133.68,153.13,133.49,153.23,149.87,132.71,133.31
27,116.10,101.15,160.36,133.77,141.54,160.63,166.01,167.95,157.00,173.70,137.68,158.33,137.49,158.42,154.61,136.67,137.31
28,119.37,103.59,165.65,137.68,145.73,165.74,171.21,173.24,161.83,179.26,141.68,163.53,141.50,163.62,159.34,140.62,141.31
29,122.64,106.03,170.94,141.59,149.91,170.84,176.41,178.53,166.66,184.83,145.68,168.73,145.50,168.82,164.08,144.58,145.31
30,125.90,108.47,176.23,145.50,154.10,175.95,181.61,183.82,171.49,190.39,149.68,173.93,149.50,174.02,168.82,148.53,149.32
31,129.17,110.91,181.52,149.41,158.29,181.06,186.81,189.11,176.32,195.96,153.69,179.12,153.50,179.22,173.56,152.49,153.32
32,132.43,113.34,186.81,153.32,162.47,186.16,192.00,194.40,181.15,201.53,157.69,184.32,157.50,184.41,178.30,156.45,157.32
33,135.70,115.78,192.10,157.23,166.66,191.27,197.20,199.69,185.98,207.09,161.69,189.52,161.51,189.61,183.03,160.40,161.32
34,138.97,118.22,197.39,161.14,170.84,196.37,202.40,204.98,190.81,212.66,165.69,194.72,165.51,194.81,187.77,164.36,165.32
35,142.23,120.66,202.68,165.05,175.03,201.48,207.60,210.27,195.64,218.22,169.69,199.92,169.51,200.01,192.51,168.31,169.33
