EXPRESS MAIL INTERNATIONAL - RETAIL,,,,,,,,,,,,,,,,,

Weight Not Over (lb.),Price Groups,,,,,,,,,,,,,,,,
.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.5,26.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95
1,32.50,33.75,34.50,34.00,34.75,34.00,36.75,36.25,35.25,35.50,34.75,34.50,34.75,34.50,35.25,34.75,34.75
2,36.15,37.60,39.45,38.35,39.50,38.75,41.60,41.20,40.10,40.95,39.55,39.45,39.50,39.35,40.00,39.55,39.45
3,39.80,41.45,44.40,42.70,44.25,43.50,46.45,46.15,44.95,46.40,44.35,44.40,44.25,44.20,44.75,44.35,44.15
4,43.45,45.30,49.35,47.05,49.00,48.25,51.30,51.10,49.80,51.85,49.15,49.35,49.00,49.05,49.50,49.15,48.85
5,47.10,49.15,54.30,51.40,53.75,53.00,56.15,56.05,54.65,57.70,53.95,54.30,53.75,53.90,54.25,53.95,53.55
6,50.85,52.30,59.25,55.75,58.30,58.45,61.80,61.80,60.00,63.55,58.30,59.25,58.10,58.75,59.50,58.25,57.90
7,54.60,55.45,64.20,60.10,62.85,63.90,67.45,67.55,65.35,69.40,62.65,64.20,62.45,63.60,64.75,62.55,62.25
8,58.35,58.60,69.15,64.45,67.40,69.35,73.10,73.30,70.70,75.25,67.00,69.15,66.80,68.45,70.00,66.85,66.60
9,62.10,61.75,74.10,68.80,71.95,74.80,78.75,79.05,76.05,81.10,71.35,74.10,71.15,73.30,75.25,71.15,70.95
10,65.85,64.90,79.05,73.15,76.50,80.25,84.40,84.80,81.40,86.95,75.70,79.05,75.50,78.15,80.50,75.45,75.30
11,69.40,67.55,84.30,77.40,81.05,85.80,90.05,90.55,86.65,92.80,80.05,84.10,79.85,83.40,85.65,79.75,79.65
12,72.95,70.20,89.55,81.65,85.60,91.35,95.70,96.30,91.90,98.65,84.40,89.15,84.20,88.65,90.80,84.05,84.00
13,76.50,72.85,94.80,85.90,90.15,96.90,101.35,102.05,97.15,104.50,88.75,94.20,88.55,93.90,95.95,88.35,88.35
14,80.05,75.50,100.05,90.15,94.70,102.45,107.00,107.80,102.40,110.35,93.10,99.25,92.90,99.15,101.10,92.65,92.70
15,83.60,78.15,105.30,94.40,99.25,108.00,112.65,113.55,107.65,116.20,97.45,104.30,97.25,104.40,106.25,96.95,97.05
16,87.15,80.80,111.05,98.65,103.80,113.55,118.30,119.30,112.90,122.25,101.80,109.95,101.60,110.05,111.40,101.25,101.40
17,90.70,83.45,116.80,102.90,108.35,119.10,123.95,125.05,118.15,128.30,106.15,115.60,105.95,115.70,116.55,105.55,105.75
18,94.25,86.10,122.55,107.15,112.90,124.65,129.60,130.80,123.40,134.35,110.50,121.25,110.30,121.35,121.70,109.85,110.10
19,97.80,88.75,128.30,111.40,117.45,130.20,135.25,136.55,128.65,140.40,114.85,126.90,114.65,127.00,126.85,114.15,114.45
20,101.35,91.40,134.05,115.65,122.00,135.75,140.90,142.30,133.90,146.45,119.20,132.55,119.00,132.65,132.00,118.45,118.80
21,104.90,94.05,139.80,119.90,126.55,141.30,146.55,148.05,139.15,152.50,123.55,138.20,123.35,138.30,137.15,122.75,123.15
22,108.45,96.70,145.55,124.15,131.10,146.85,152.20,153.80,144.40,158.55,127.90,143.85,127.70,143.95,142.30,127.05,127.50
23,112.00,99.35,151.30,128.40,135.65,152.40,157.85,159.55,149.65,164.60,132.25,149.50,132.05,149.60,147.45,131.35,131.85
24,115.55,102.00,157.05,132.65,140.20,157.95,163.50,165.30,154.90,170.65,136.60,155.15,136.40,155.25,152.60,135.65,136.20
25,119.10,104.65,162.80,136.90,144.75,163.50,169.15,171.05,160.15,176.70,140.95,160.80,140.75,160.90,157.75,139.95,140.55
26,122.65,107.30,168.55,141.15,149.30,169.05,174.80,176.80,165.40,182.75,145.30,166.45,145.10,166.55,162.90,144.25,144.90
27,126.20,109.95,174.30,145.40,153.85,174.60,180.45,182.55,170.65,188.80,149.65,172.10,149.45,172.20,168.05,148.55,149.25
28,129.75,112.60,180.05,149.65,158.40,180.15,186.10,188.30,175.90,194.85,154.00,177.75,153.80,177.85,173.20,152.85,153.60
29,133.30,115.25,185.80,153.90,162.95,185.70,191.75,194.05,181.15,200.90,158.35,183.40,158.15,183.50,178.35,157.15,157.95
30,136.85,117.90,191.55,158.15,167.50,191.25,197.40,199.80,186.40,206.95,162.70,189.05,162.50,189.15,183.50,161.45,162.30
