FedEx Express U.S. Package Standard List Rates -- Zone 3,,,,,
"Effective 01/05/2009",,,,,

Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Standard Overnight,FedEx 2Day,FedEx Express Saver
FedEx® Envelope up to 8 oz.,$44.10 ,$19.10 ,$16.55 ,$10.65 ,$9.65 
1,$50.95 ,$25.95 ,$21.50 ,$10.65 ,$9.65 
2,$53.25 ,$28.25 ,$22.75 ,$10.85 ,$9.80 
3,$54.75 ,$29.75 ,$24.10 ,$11.20 ,$9.85 
4,$56.15 ,$31.15 ,$25.70 ,$11.55 ,$9.90 
5,$57.75 ,$32.75 ,$27.55 ,$11.95 ,$10.35 
6,$59.30 ,$34.30 ,$29.25 ,$12.40 ,$11.40 
7,$61.05 ,$36.05 ,$30.55 ,$13.60 ,$12.30 
8,$62.80 ,$37.80 ,$31.45 ,$14.85 ,$13.40 
9,$64.50 ,$39.50 ,$32.80 ,$15.45 ,$14.15 
10,$64.55 ,$39.55 ,$34.10 ,$16.45 ,$15.10 
11,$68.00 ,$43.00 ,$35.60 ,$17.30 ,$15.90 
12,$69.75 ,$44.75 ,$37.35 ,$18.30 ,$16.65 
13,$71.45 ,$46.45 ,$39.25 ,$19.25 ,$17.45 
14,$73.20 ,$48.20 ,$40.75 ,$20.25 ,$18.35 
15,$74.95 ,$49.95 ,$42.15 ,$20.80 ,$19.00 
16,$76.65 ,$51.65 ,$43.15 ,$21.45 ,$19.70 
17,$78.40 ,$53.40 ,$43.95 ,$22.10 ,$20.25 
18,$80.10 ,$55.10 ,$45.05 ,$22.85 ,$21.10 
19,$81.55 ,$56.55 ,$46.35 ,$23.50 ,$21.75 
20,$83.30 ,$58.30 ,$47.65 ,$24.50 ,$22.50 
21,$84.50 ,$59.50 ,$48.60 ,$25.45 ,$23.30 
22,$85.90 ,$60.90 ,$49.65 ,$26.65 ,$24.10 
23,$87.10 ,$62.10 ,$50.55 ,$27.25 ,$24.75 
24,$88.20 ,$63.20 ,$51.40 ,$28.30 ,$25.50 
25,$89.65 ,$64.65 ,$52.50 ,$29.10 ,$26.60 
26,$91.00 ,$66.00 ,$54.00 ,$29.85 ,$27.30 
27,$92.25 ,$67.25 ,$55.45 ,$30.75 ,$28.20 
28,$93.70 ,$68.70 ,$56.90 ,$31.80 ,$29.00 
29,$94.85 ,$69.85 ,$57.95 ,$32.35 ,$29.60 
30,$96.05 ,$71.05 ,$58.60 ,$33.25 ,$30.45 
31,$97.45 ,$72.45 ,$59.25 ,$34.30 ,$31.50 
32,$99.15 ,$74.15 ,$60.25 ,$35.10 ,$32.20 
33,$101.00 ,$76.00 ,$61.50 ,$35.95 ,$32.75 
34,$102.20 ,$77.20 ,$62.90 ,$36.65 ,$33.60 
35,$103.60 ,$78.60 ,$64.10 ,$37.75 ,$34.55 
36,$104.85 ,$79.85 ,$65.45 ,$38.60 ,$35.30 
37,$107.10 ,$82.10 ,$66.35 ,$39.15 ,$36.00 
38,$108.45 ,$83.45 ,$67.65 ,$39.80 ,$36.65 
39,$109.85 ,$84.85 ,$69.25 ,$40.80 ,$37.40 
40,$111.30 ,$86.30 ,$70.85 ,$41.85 ,$38.60 
41,$113.05 ,$88.05 ,$71.85 ,$42.85 ,$39.35 
42,$114.80 ,$89.80 ,$72.85 ,$43.90 ,$40.15 
43,$116.50 ,$91.50 ,$74.45 ,$44.80 ,$41.05 
44,$118.30 ,$93.30 ,$75.75 ,$45.40 ,$41.60 
45,$120.30 ,$95.30 ,$77.40 ,$46.45 ,$42.30 
46,$122.30 ,$97.30 ,$78.65 ,$47.00 ,$43.15 
47,$124.35 ,$99.35 ,$80.30 ,$47.90 ,$43.90 
48,$126.35 ,$101.35 ,$81.90 ,$49.00 ,$44.80 
49,$128.65 ,$103.65 ,$83.50 ,$50.20 ,$45.85 
50,$130.70 ,$105.70 ,$84.80 ,$50.85 ,$46.45 
51,$133.00 ,$108.00 ,$86.40 ,$51.40 ,$47.15 
52,$135.30 ,$110.30 ,$87.70 ,$52.25 ,$47.95 
53,$137.05 ,$112.05 ,$89.60 ,$53.25 ,$48.80 
54,$139.35 ,$114.35 ,$91.25 ,$54.10 ,$49.80 
55,$141.40 ,$116.40 ,$93.20 ,$55.00 ,$50.50 
56,$143.65 ,$118.65 ,$94.80 ,$55.75 ,$51.10 
57,$145.70 ,$120.70 ,$96.75 ,$56.65 ,$51.80 
58,$147.70 ,$122.70 ,$99.05 ,$57.55 ,$52.55 
59,$149.75 ,$124.75 ,$101.55 ,$58.20 ,$53.35 
60,$151.75 ,$126.75 ,$103.80 ,$58.80 ,$53.95 
61,$154.10 ,$129.10 ,$105.75 ,$59.60 ,$54.70 
62,$156.40 ,$131.40 ,$107.30 ,$60.75 ,$55.70 
63,$159.00 ,$134.00 ,$109.35 ,$61.75 ,$56.50 
64,$161.60 ,$136.60 ,$111.55 ,$62.70 ,$57.25 
65,$164.20 ,$139.20 ,$113.50 ,$63.60 ,$58.05 
66,$166.80 ,$141.80 ,$115.75 ,$64.15 ,$58.80 
67,$169.45 ,$144.45 ,$118.05 ,$65.45 ,$59.95 
68,$172.00 ,$147.00 ,$120.25 ,$66.00 ,$60.65 
69,$174.60 ,$149.60 ,$122.25 ,$66.95 ,$61.40 
70,$177.20 ,$152.20 ,$124.75 ,$67.95 ,$62.15 
71,$180.05 ,$155.05 ,$126.70 ,$68.90 ,$63.15 
72,$182.70 ,$157.70 ,$128.70 ,$70.15 ,$64.15 
73,$185.55 ,$160.55 ,$131.60 ,$70.75 ,$64.90 
74,$188.15 ,$163.15 ,$133.90 ,$71.60 ,$65.55 
75,$191.10 ,$166.10 ,$135.75 ,$72.75 ,$66.60 
76,$193.65 ,$168.65 ,$135.80 ,$73.60 ,$67.35 
77,$196.25 ,$171.25 ,$140.00 ,$74.55 ,$68.15 
78,$198.85 ,$173.85 ,$142.30 ,$75.15 ,$68.95 
79,$201.20 ,$176.20 ,$144.90 ,$76.10 ,$69.75 
80,$201.25 ,$176.25 ,$147.20 ,$77.00 ,$70.55 
81,$206.35 ,$181.35 ,$149.80 ,$77.90 ,$71.35 
82,$208.70 ,$183.70 ,$152.10 ,$78.85 ,$72.15 
83,$211.00 ,$186.00 ,$154.65 ,$79.75 ,$73.00 
84,$213.00 ,$188.00 ,$157.00 ,$80.80 ,$73.95 
85,$215.35 ,$190.35 ,$159.55 ,$81.90 ,$74.80 
86,$217.65 ,$192.65 ,$161.85 ,$82.70 ,$75.60 
87,$219.95 ,$194.95 ,$164.45 ,$83.55 ,$76.30 
88,$222.30 ,$197.30 ,$167.05 ,$84.55 ,$77.15 
89,$222.35 ,$197.35 ,$169.60 ,$85.10 ,$77.90 
90,$222.40 ,$197.40 ,$171.90 ,$85.95 ,$78.60 
91,$228.95 ,$203.95 ,$174.50 ,$87.05 ,$79.60 
92,$231.20 ,$206.20 ,$176.50 ,$87.90 ,$80.35 
93,$233.50 ,$208.50 ,$178.55 ,$89.20 ,$81.35 
94,$235.60 ,$210.60 ,$180.50 ,$89.75 ,$82.20 
95,$235.65 ,$210.65 ,$182.55 ,$90.70 ,$82.95 
96,$239.90 ,$214.90 ,$184.55 ,$91.30 ,$83.60 
97,$242.20 ,$217.20 ,$186.60 ,$91.85 ,$84.35 
98,$244.55 ,$219.55 ,$188.60 ,$91.90 ,$85.20 
99,$246.80 ,$221.80 ,$190.30 ,$91.95 ,$85.70 
100,$248.00 ,$223.00 ,$191.00 ,$92.00 ,$86.00 
101,$250.48 ,$225.23 ,$192.91 ,$92.92 ,$86.86 
102,$252.96 ,$227.46 ,$194.82 ,$93.84 ,$87.72 
103,$255.44 ,$229.69 ,$196.73 ,$94.76 ,$88.58 
104,$257.92 ,$231.92 ,$198.64 ,$95.68 ,$89.44 
105,$260.40 ,$234.15 ,$200.55 ,$96.60 ,$90.30 
106,$262.88 ,$236.38 ,$202.46 ,$97.52 ,$91.16 
107,$265.36 ,$238.61 ,$204.37 ,$98.44 ,$92.02 
108,$267.84 ,$240.84 ,$206.28 ,$99.36 ,$92.88 
109,$270.32 ,$243.07 ,$208.19 ,$100.28 ,$93.74 
110,$272.80 ,$245.30 ,$210.10 ,$101.20 ,$94.60 
111,$275.28 ,$247.53 ,$212.01 ,$102.12 ,$95.46 
112,$277.76 ,$249.76 ,$213.92 ,$103.04 ,$96.32 
113,$280.24 ,$251.99 ,$215.83 ,$103.96 ,$97.18 
114,$282.72 ,$254.22 ,$217.74 ,$104.88 ,$98.04 
115,$285.20 ,$256.45 ,$219.65 ,$105.80 ,$98.90 
116,$287.68 ,$258.68 ,$221.56 ,$106.72 ,$99.76 
117,$290.16 ,$260.91 ,$223.47 ,$107.64 ,$100.62 
118,$292.64 ,$263.14 ,$225.38 ,$108.56 ,$101.48 
119,$295.12 ,$265.37 ,$227.29 ,$109.48 ,$102.34 
120,$297.60 ,$267.60 ,$229.20 ,$110.40 ,$103.20 
121,$300.08 ,$269.83 ,$231.11 ,$111.32 ,$104.06 
122,$302.56 ,$272.06 ,$233.02 ,$112.24 ,$104.92 
123,$305.04 ,$274.29 ,$234.93 ,$113.16 ,$105.78 
124,$307.52 ,$276.52 ,$236.84 ,$114.08 ,$106.64 
125,$310.00 ,$278.75 ,$238.75 ,$115.00 ,$107.50 
126,$312.48 ,$280.98 ,$240.66 ,$115.92 ,$108.36 
127,$314.96 ,$283.21 ,$242.57 ,$116.84 ,$109.22 
128,$317.44 ,$285.44 ,$244.48 ,$117.76 ,$110.08 
129,$319.92 ,$287.67 ,$246.39 ,$118.68 ,$110.94 
130,$322.40 ,$289.90 ,$248.30 ,$119.60 ,$111.80 
131,$324.88 ,$292.13 ,$250.21 ,$120.52 ,$112.66 
132,$327.36 ,$294.36 ,$252.12 ,$121.44 ,$113.52 
133,$329.84 ,$296.59 ,$254.03 ,$122.36 ,$114.38 
134,$332.32 ,$298.82 ,$255.94 ,$123.28 ,$115.24 
135,$334.80 ,$301.05 ,$257.85 ,$124.20 ,$116.10 
136,$337.28 ,$303.28 ,$259.76 ,$125.12 ,$116.96 
137,$339.76 ,$305.51 ,$261.67 ,$126.04 ,$117.82 
138,$342.24 ,$307.74 ,$263.58 ,$126.96 ,$118.68 
139,$344.72 ,$309.97 ,$265.49 ,$127.88 ,$119.54 
140,$347.20 ,$312.20 ,$267.40 ,$128.80 ,$120.40 
141,$349.68 ,$314.43 ,$269.31 ,$129.72 ,$121.26 
142,$352.16 ,$316.66 ,$271.22 ,$130.64 ,$122.12 
143,$354.64 ,$318.89 ,$273.13 ,$131.56 ,$122.98 
144,$357.12 ,$321.12 ,$275.04 ,$132.48 ,$123.84 
145,$359.60 ,$323.35 ,$276.95 ,$133.40 ,$124.70 
146,$362.08 ,$325.58 ,$278.86 ,$134.32 ,$125.56 
147,$364.56 ,$327.81 ,$280.77 ,$135.24 ,$126.42 
148,$367.04 ,$330.04 ,$282.68 ,$136.16 ,$127.28 
149,$369.52 ,$332.27 ,$284.59 ,$137.08 ,$128.14 
150,$372.00 ,$334.50 ,$286.50 ,$138.00 ,$129.00 


Multiweight/Per-Pound Standard List Rates (multiply by total shipment weight),,,,,

Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Standard Overnight,FedEx 2Day,FedEx Express Saver
100-499,$2.48 ,$2.23 ,$1.91 ,$0.92 ,$0.86 
500-999,$2.46 ,$2.21 ,$1.89 ,$0.90 ,$0.84 
1000-1999,$2.44 ,$2.19 ,$1.87 ,$0.88 ,$0.82 
2000+,$2.42 ,$2.17 ,$1.85 ,$0.86 ,$0.80 


FedEx Express U.S. Standard List Rates: FedEx 1Day® Freight,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 3,
151-499 lbs.,$1.28 
500-999 lbs.,$1.25 
"1,000-1,999 lbs.",$1.19 
"2,000+ lbs.",$1.17 
Minimum Charge,$122.00 

FedEx Express U.S. Standard List Rates: FedEx 2Day® Freight,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 3,
151-499 lbs.,$1.25 
500-999 lbs.,$1.17 
"1,000-1,999 lbs.",$1.14 
"2,000+ lbs.",$1.10 
Minimum Charge,$119.00 

FedEx Express U.S. Standard List Rates: FedEx 3Day® Freight,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 3,
151-499 lbs.,$1.22 
500-999 lbs.,$1.15 
"1,000-1,999 lbs.",$1.11 
"2,000+ lbs.",$1.07 
Minimum Charge,$54.00 

See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
