FedEx Express U.S. Retail Counter Rates -- Zone 3,,,,,
"Effective 01/05/2009",,,,,

Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Standard Overnight,FedEx 2Day,FedEx Express Saver
FedEx® Envelope up to 8 oz.,$51.05 ,$20.05 ,$17.95 ,$12.50 ,$9.70 
1,$58.20 ,$27.20 ,$23.25 ,$12.50 ,$9.70 
2,$60.60 ,$29.60 ,$24.60 ,$12.75 ,$9.85 
3,$62.20 ,$31.20 ,$26.10 ,$13.15 ,$9.90 
4,$63.70 ,$32.70 ,$27.80 ,$13.60 ,$10.15 
5,$65.35 ,$34.35 ,$29.75 ,$14.05 ,$10.90 
6,$66.95 ,$35.95 ,$31.60 ,$14.60 ,$11.95 
7,$68.80 ,$37.80 ,$33.05 ,$16.00 ,$12.90 
8,$70.65 ,$39.65 ,$34.00 ,$17.45 ,$13.95 
9,$72.45 ,$41.45 ,$35.45 ,$18.15 ,$14.75 
10,$72.50 ,$41.50 ,$36.85 ,$19.35 ,$15.60 
11,$76.10 ,$45.10 ,$38.50 ,$20.35 ,$16.45 
12,$77.90 ,$46.90 ,$40.40 ,$21.50 ,$17.35 
13,$79.70 ,$48.70 ,$42.40 ,$22.60 ,$18.10 
14,$81.50 ,$50.50 ,$44.05 ,$23.80 ,$18.95 
15,$83.35 ,$52.35 ,$45.55 ,$24.45 ,$19.70 
16,$85.15 ,$54.15 ,$46.65 ,$25.20 ,$20.35 
17,$87.00 ,$56.00 ,$47.50 ,$25.95 ,$21.15 
18,$88.75 ,$57.75 ,$48.70 ,$26.85 ,$21.90 
19,$90.25 ,$59.25 ,$50.10 ,$27.60 ,$22.60 
20,$92.15 ,$61.15 ,$51.45 ,$28.80 ,$23.40 
21,$93.40 ,$62.40 ,$52.50 ,$29.90 ,$23.90 
22,$94.80 ,$63.80 ,$53.65 ,$31.35 ,$24.75 
23,$96.10 ,$65.10 ,$54.60 ,$32.05 ,$25.45 
24,$97.20 ,$66.20 ,$55.55 ,$33.25 ,$26.25 
25,$98.75 ,$67.75 ,$56.75 ,$34.20 ,$27.20 
