Express Mail - Retail  ,,,,,,,

Weight Not Over (pounds),L 1  2,3,4,5,6,7,8
0.5,13.65,15.9,19.35,20.7,21.05,21.85,22.2
1,15.7,20.7,24.7,25.3,25.85,26.2,26.3
2,17.05,21.85,27.15,27.75,28.3,28.5,28.9
3,18.1,23.2,31.2,31.95,32.6,32.8,33.1
4,19.45,24.7,35.3,36.6,36.75,36.9,37.25
5,20.2,26.4,39.3,40.8,40.9,41.1,41.4
6,23.65,31.75,42.95,44.85,44.95,45.15,45.7
7,27.15,37,47,48.35,49.1,49.4,49.7
8,28.5,38.15,50.6,52.55,53.35,53.6,54
9,30.05,39.75,54.15,56.7,57.5,57.7,58.15
10,31,41.4,56.65,59.5,60.45,60.65,61.05
11,33.85,46.3,60.55,62.4,63.35,63.55,64
12,34.45,49.6,63.75,65.25,66.3,66.4,66.8
13,34.9,52.75,66.7,68.1,69.05,69.9,70.7
14,36.05,56,69.35,70.95,71.95,72.9,73.65
15,38.15,59.15,72.3,73.85,74.9,75.65,76.55
16,39.2,62.5,75.1,76.8,78.1,78.2,78.4
17,41.4,65.75,77.95,79.55,80.7,80.9,81.35
18,43.6,68.85,80.7,82.5,83.6,83.85,84.25
19,44.75,72.1,83.5,85.3,86.45,86.65,87.05
20,46.85,75.4,87.6,88.9,89.85,90.35,91
21,48.15,80.05,90.35,91.6,93.8,94.15,94.35
22,50.35,83.4,94.35,95.8,96.75,97.05,98
23,51.4,86.65,97.15,98.75,99.7,99.95,100.85
24,53.6,89.95,100.25,101.6,102.75,102.85,103.05
25,55.9,93.3,102.65,104.5,105.55,105.8,106.3
26,56.95,96.65,105.65,107.45,108.5,108.8,109.3
27,59.05,99.8,108.4,110.2,111.35,111.7,112.2
28,60.2,103.15,111.9,113.15,114.3,114.6,115.15
29,62.4,106.4,115.55,116.05,117.2,117.55,117.95
30,64.6,109.7,119.2,119.5,120.6,120.95,121.75
31,65.65,112.95,122.8,123.15,124.4,124.7,125.55
32,67.8,116.4,126.45,126.9,128.05,128.35,129.3
33,68.95,119.65,130.1,130.5,131.75,132.05,133
34,71.15,122.8,133.85,134.15,135.4,135.7,136.75
35,72.3,126.15,137.4,137.9,139.05,139.5,140.45
36,74.4,129.5,141.1,141.5,142.9,143.2,144.25
37,76.55,132.7,144.75,145.2,146.65,146.95,148
38,77.7,136.05,148.4,148.95,150.3,150.6,151.7
39,79.85,139.4,152.1,152.55,153.8,154.2,155.45
40,80.9,142.55,155.8,156.2,157.55,158,159.25
41,83.1,145.9,159.45,159.95,161.35,161.6,162.95
42,85.3,149.25,163.05,163.55,165.15,165.35,166.7
43,86.45,152.45,166.7,167.35,168.8,169.1,170.45
44,88.6,155.8,170.35,171,172.5,172.8,174.15
45,89.75,159.15,173.95,174.6,176.15,176.45,177.95
46,91.95,162.3,177.75,178.25,179.8,180.15,181.7
47,93,165.65,181.4,182,183.55,183.85,185.4
48,95.15,169,185,185.6,187.3,187.6,189.15
49,97.35,172.2,188.65,189.25,191.05,191.25,192.9
50,98.5,175.55,192.4,193,194.65,194.95,196.65
51,100.65,178.9,196,196.65,198.3,198.65,200.4
52,101.8,182.05,199.65,200.4,202.1,202.4,204.2
53,104,185.4,203.3,203.9,205.8,206,207.9
54,106.2,188.75,206.95,207.65,209.55,209.75,211.65
55,107.25,193.1,210.7,211.3,213.2,213.45,215.35
56,109.4,196.45,214.3,215.05,216.9,217.1,219.1
57,110.55,199.8,217.95,218.7,220.55,220.9,222.85
58,112.6,202.95,221.6,222.35,224.3,224.5,226.6
59,113.9,206.2,225.2,226.05,228.05,228.25,230.35
60,115.95,209.55,228.9,229.7,231.7,232,234.05
61,118.15,212.9,232.65,233.5,235.4,235.7,237.8
62,119.3,216.1,236.25,237,239.05,239.4,241.6
63,121.45,219.4,239.9,240.75,242.85,243.05,245.4
64,122.5,222.65,243.55,244.4,246.55,246.75,249.15
65,124.7,225.95,247.15,248,250.2,250.5,252.8
66,127,229.3,250.95,251.75,253.95,254.25,256.5
67,128.05,232.55,254.6,255.35,257.55,257.9,260.3
68,130.2,235.85,258.2,259.15,261.35,261.65,264.15
69,131.2,239.15,261.85,262.8,265,265.25,267.75
70,133.5,242.5,265.55,266.4,268.7,268.9,271.5
Flat Rate Envelope,18.3,18.3,18.3,18.3,18.3,18.3,18.3
