FedEx Express U.S. Package Retail Rates: FedEx Standard Overnight®,,,,,,,,,,
"Effective 1/3/2011",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
FedEx® Envelope up to 8 oz.,$17.15 ,$20.50 ,$25.50 ,$26.90 ,$27.05 ,$28.80 ,$30.15 ,$33.00 ,,$23.00 
1,$19.60 ,$26.60 ,$36.00 ,$39.90 ,$43.35 ,$46.25 ,$47.50 ,$48.20 ,,$32.50 
2,$21.10 ,$28.15 ,$40.60 ,$44.15 ,$48.95 ,$50.90 ,$53.00 ,$53.75 ,,$35.30 
3,$22.50 ,$29.80 ,$44.95 ,$48.95 ,$54.25 ,$56.00 ,$57.90 ,$58.75 ,,$38.50 
4,$24.25 ,$31.75 ,$48.75 ,$53.65 ,$59.20 ,$60.95 ,$63.35 ,$64.25 ,,$41.90 
5,$24.95 ,$32.20 ,$53.30 ,$58.30 ,$63.20 ,$64.95 ,$67.25 ,$68.20 ,,$45.60 
6,$26.35 ,$36.25 ,$57.65 ,$62.15 ,$68.50 ,$69.55 ,$72.50 ,$73.55 ,,$49.80 
7,$26.90 ,$37.80 ,$61.65 ,$67.45 ,$73.25 ,$74.80 ,$77.45 ,$78.55 ,,$52.50 
8,$28.25 ,$38.90 ,$65.70 ,$71.85 ,$78.25 ,$80.10 ,$82.40 ,$83.60 ,,$55.60 
9,$29.75 ,$40.60 ,$69.35 ,$76.50 ,$83.10 ,$85.30 ,$87.70 ,$88.95 ,,$59.70 
10,$30.40 ,$42.20 ,$72.60 ,$80.50 ,$88.00 ,$90.30 ,$92.90 ,$94.25 ,,$62.90 
11,$31.50 ,$44.05 ,$76.35 ,$84.90 ,$92.90 ,$95.60 ,$97.90 ,$99.30 ,,$64.30 
12,$32.50 ,$46.25 ,$80.50 ,$88.85 ,$97.45 ,$100.80 ,$103.20 ,$104.65 ,,$68.60 
13,$32.95 ,$48.60 ,$84.30 ,$92.85 ,$101.40 ,$106.10 ,$108.15 ,$109.70 ,,$71.30 
14,$34.10 ,$50.40 ,$88.65 ,$96.80 ,$105.30 ,$110.75 ,$113.45 ,$115.05 ,,$74.10 
15,$35.50 ,$52.20 ,$91.70 ,$100.70 ,$109.20 ,$114.35 ,$117.75 ,$119.40 ,,$77.00 
16,$36.20 ,$53.40 ,$96.10 ,$104.45 ,$112.80 ,$117.35 ,$120.75 ,$122.45 ,,$78.60 
17,$38.10 ,$54.40 ,$98.80 ,$107.70 ,$115.45 ,$120.00 ,$123.35 ,$125.10 ,,$80.80 
18,$39.15 ,$55.80 ,$101.80 ,$110.00 ,$118.00 ,$122.65 ,$126.65 ,$128.45 ,,$86.20 
19,$40.20 ,$57.35 ,$104.20 ,$112.30 ,$120.70 ,$125.35 ,$129.95 ,$131.80 ,,$89.70 
20,$40.95 ,$59.05 ,$112.30 ,$122.05 ,$130.60 ,$136.05 ,$141.00 ,$143.00 ,,$90.60 
21,$42.05 ,$60.20 ,$115.30 ,$125.05 ,$134.45 ,$139.95 ,$144.85 ,$146.90 ,,$92.10 
22,$43.55 ,$61.50 ,$118.20 ,$127.90 ,$137.85 ,$143.75 ,$147.95 ,$150.05 ,,$95.70 
23,$44.20 ,$62.60 ,$121.50 ,$131.10 ,$141.00 ,$146.85 ,$151.45 ,$153.60 ,,$96.80 
24,$45.35 ,$63.60 ,$124.70 ,$134.40 ,$144.80 ,$150.10 ,$154.55 ,$156.75 ,,$99.60 
