FedEx Ground Standard List Rates,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
1,$4.57 ,$4.70 ,$4.82 ,$5.01 ,$5.27 ,$5.36 ,$5.48 ,$16.88 ,$16.88 ,$4.32 ,$16.88 ,$11.30 ,$17.80 ,$6.74 ,$6.95 ,$4.32 ,$6.74 ,$6.95 
2,$4.65 ,$4.94 ,$5.38 ,$5.49 ,$5.88 ,$6.02 ,$6.31 ,$18.85 ,$18.85 ,$4.36 ,$18.85 ,$12.25 ,$18.80 ,$7.28 ,$7.48 ,$4.36 ,$7.28 ,$7.48 
3,$4.69 ,$5.17 ,$5.65 ,$5.84 ,$6.27 ,$6.47 ,$6.99 ,$20.59 ,$20.59 ,$4.39 ,$20.59 ,$12.95 ,$19.85 ,$8.56 ,$8.79 ,$4.39 ,$8.56 ,$8.79 
4,$4.82 ,$5.36 ,$5.93 ,$6.23 ,$6.62 ,$6.84 ,$7.45 ,$22.38 ,$22.38 ,$4.44 ,$22.38 ,$13.85 ,$20.85 ,$9.62 ,$10.16 ,$4.44 ,$9.62 ,$10.16 
5,$5.06 ,$5.44 ,$6.22 ,$6.50 ,$6.92 ,$7.20 ,$7.89 ,$24.47 ,$24.47 ,$4.47 ,$24.47 ,$14.80 ,$21.80 ,$10.95 ,$11.54 ,$4.49 ,$10.95 ,$11.54 
6,$5.21 ,$5.61 ,$6.32 ,$6.67 ,$7.05 ,$7.40 ,$8.11 ,$26.75 ,$26.75 ,$4.48 ,$26.75 ,$15.60 ,$22.70 ,$12.33 ,$12.97 ,$4.62 ,$12.33 ,$12.97 
7,$5.48 ,$5.78 ,$6.45 ,$6.86 ,$7.26 ,$7.62 ,$8.40 ,$28.66 ,$28.66 ,$4.54 ,$28.66 ,$16.35 ,$23.45 ,$13.66 ,$14.37 ,$4.79 ,$13.66 ,$14.37 
8,$5.70 ,$5.97 ,$6.62 ,$6.99 ,$7.50 ,$7.97 ,$8.93 ,$30.69 ,$30.69 ,$4.61 ,$30.69 ,$17.10 ,$24.40 ,$15.02 ,$15.84 ,$4.96 ,$15.02 ,$15.84 
9,$5.86 ,$6.15 ,$6.74 ,$7.17 ,$7.68 ,$8.40 ,$9.51 ,$32.92 ,$32.92 ,$4.69 ,$32.92 ,$17.90 ,$25.10 ,$16.34 ,$17.29 ,$5.13 ,$16.34 ,$17.29 
10,$6.06 ,$6.19 ,$6.87 ,$7.37 ,$8.01 ,$9.00 ,$10.15 ,$34.96 ,$34.96 ,$4.75 ,$34.96 ,$18.70 ,$26.00 ,$17.70 ,$18.74 ,$5.32 ,$17.70 ,$18.74 
11,$6.27 ,$6.48 ,$7.00 ,$7.53 ,$8.33 ,$9.63 ,$10.86 ,$37.08 ,$37.08 ,$4.81 ,$37.08 ,$19.35 ,$26.90 ,$19.03 ,$20.16 ,$5.49 ,$19.03 ,$20.16 
12,$6.45 ,$6.69 ,$7.16 ,$7.70 ,$8.71 ,$10.27 ,$11.65 ,$38.83 ,$38.83 ,$4.89 ,$38.83 ,$20.05 ,$27.90 ,$20.31 ,$21.56 ,$5.70 ,$20.31 ,$21.56 
13,$6.67 ,$6.91 ,$7.28 ,$7.88 ,$9.13 ,$10.93 ,$12.44 ,$40.54 ,$40.54 ,$4.95 ,$40.54 ,$20.75 ,$28.85 ,$21.51 ,$22.87 ,$5.88 ,$21.51 ,$22.87 
14,$6.81 ,$7.13 ,$7.43 ,$8.06 ,$9.64 ,$11.56 ,$13.24 ,$42.39 ,$42.39 ,$5.00 ,$42.39 ,$21.50 ,$29.85 ,$22.63 ,$24.21 ,$6.08 ,$22.63 ,$24.21 
15,$6.95 ,$7.35 ,$7.55 ,$8.25 ,$10.15 ,$12.21 ,$14.03 ,$44.03 ,$44.03 ,$5.04 ,$44.03 ,$22.30 ,$30.90 ,$23.77 ,$25.53 ,$6.27 ,$23.77 ,$25.53 
16,$7.06 ,$7.47 ,$7.67 ,$8.41 ,$10.54 ,$12.73 ,$14.69 ,$46.16 ,$46.16 ,$5.09 ,$46.16 ,$23.10 ,$31.90 ,$24.81 ,$26.74 ,$6.42 ,$24.81 ,$26.74 
17,$7.13 ,$7.71 ,$7.91 ,$8.76 ,$11.07 ,$13.36 ,$15.42 ,$48.04 ,$48.04 ,$5.15 ,$48.04 ,$23.95 ,$33.05 ,$26.01 ,$28.14 ,$6.62 ,$26.01 ,$28.14 
18,$7.23 ,$7.96 ,$8.16 ,$9.21 ,$11.61 ,$13.96 ,$16.20 ,$50.22 ,$50.22 ,$5.20 ,$50.22 ,$24.85 ,$34.10 ,$27.21 ,$29.52 ,$6.80 ,$27.21 ,$29.52 
19,$7.36 ,$8.22 ,$8.47 ,$9.63 ,$12.12 ,$14.57 ,$16.98 ,$52.26 ,$52.26 ,$5.26 ,$52.26 ,$25.70 ,$35.35 ,$28.40 ,$30.90 ,$7.01 ,$28.40 ,$30.90 
20,$7.51 ,$8.49 ,$8.77 ,$10.07 ,$12.65 ,$15.19 ,$17.77 ,$54.20 ,$54.20 ,$5.32 ,$54.20 ,$26.40 ,$36.45 ,$29.54 ,$32.31 ,$7.20 ,$29.54 ,$32.31 
21,$7.68 ,$8.76 ,$9.05 ,$10.50 ,$13.18 ,$15.79 ,$18.52 ,$55.65 ,$55.65 ,$5.37 ,$55.65 ,$27.20 ,$37.55 ,$30.58 ,$33.70 ,$7.40 ,$30.58 ,$33.70 
22,$7.86 ,$9.02 ,$9.37 ,$10.89 ,$13.71 ,$16.42 ,$19.32 ,$57.38 ,$57.38 ,$5.41 ,$57.38 ,$28.05 ,$38.75 ,$31.56 ,$35.01 ,$7.58 ,$31.56 ,$35.01 
23,$8.05 ,$9.29 ,$9.68 ,$11.29 ,$14.23 ,$17.02 ,$20.11 ,$59.12 ,$59.12 ,$5.46 ,$59.12 ,$28.90 ,$39.90 ,$32.55 ,$36.34 ,$7.79 ,$32.55 ,$36.34 
24,$8.23 ,$9.53 ,$10.00 ,$11.66 ,$14.77 ,$17.62 ,$20.89 ,$61.06 ,$61.06 ,$5.52 ,$61.06 ,$29.70 ,$40.95 ,$33.53 ,$37.67 ,$7.98 ,$33.53 ,$37.67 
25,$8.43 ,$9.79 ,$10.28 ,$12.01 ,$15.29 ,$18.22 ,$21.67 ,$62.99 ,$62.99 ,$5.57 ,$62.99 ,$30.45 ,$42.20 ,$34.61 ,$38.96 ,$8.21 ,$34.61 ,$38.96 
26,$8.65 ,$10.02 ,$10.59 ,$12.41 ,$15.86 ,$18.82 ,$22.45 ,$65.13 ,$65.13 ,$5.63 ,$65.13 ,$31.35 ,$43.30 ,$35.68 ,$40.23 ,$8.41 ,$35.68 ,$40.23 
27,$8.86 ,$10.25 ,$10.84 ,$12.79 ,$16.39 ,$19.43 ,$23.23 ,$66.95 ,$66.95 ,$5.70 ,$66.95 ,$32.10 ,$44.40 ,$36.70 ,$41.47 ,$8.63 ,$36.70 ,$41.47 
28,$9.04 ,$10.50 ,$11.18 ,$13.18 ,$16.92 ,$20.03 ,$24.04 ,$68.77 ,$68.77 ,$5.74 ,$68.77 ,$32.90 ,$45.50 ,$37.77 ,$42.74 ,$8.83 ,$37.77 ,$42.74 
29,$9.25 ,$10.70 ,$11.51 ,$13.56 ,$17.47 ,$20.63 ,$24.85 ,$70.70 ,$70.70 ,$5.79 ,$70.70 ,$33.65 ,$46.60 ,$38.83 ,$43.97 ,$9.05 ,$38.83 ,$43.97 
30,$9.47 ,$10.97 ,$11.86 ,$13.96 ,$18.03 ,$21.23 ,$25.65 ,$72.42 ,$72.42 ,$5.84 ,$72.42 ,$34.35 ,$47.75 ,$39.89 ,$45.23 ,$9.23 ,$39.89 ,$45.23 
31,$9.66 ,$11.19 ,$12.17 ,$14.34 ,$18.55 ,$21.83 ,$26.42 ,$74.24 ,$74.24 ,$5.90 ,$74.24 ,$35.15 ,$48.75 ,$40.95 ,$46.43 ,$9.43 ,$40.95 ,$46.43 
