FedEx Ground Retail Counter Rates ,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,Intra Oahu,To Alaska,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 14,Zone 17,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
1,$6.00 ,$6.17 ,$6.33 ,$6.58 ,$6.92 ,$7.04 ,$7.19 ,$22.16 ,$5.50 ,$22.16 ,$8.55 ,$8.82 ,$5.49 ,$8.55 ,$8.82 
2,$6.10 ,$6.49 ,$7.06 ,$7.21 ,$7.71 ,$7.90 ,$8.28 ,$24.75 ,$5.54 ,$24.75 ,$9.24 ,$9.49 ,$5.54 ,$9.24 ,$9.49 
3,$6.16 ,$6.79 ,$7.42 ,$7.67 ,$8.23 ,$8.50 ,$9.18 ,$27.04 ,$5.58 ,$27.04 ,$10.87 ,$11.17 ,$5.58 ,$10.87 ,$11.17 
4,$6.34 ,$7.04 ,$7.79 ,$8.17 ,$8.68 ,$8.98 ,$9.77 ,$29.38 ,$5.64 ,$29.38 ,$12.22 ,$12.90 ,$5.64 ,$12.22 ,$12.90 
5,$6.64 ,$7.15 ,$8.16 ,$8.54 ,$9.09 ,$9.45 ,$10.36 ,$32.13 ,$5.67 ,$32.13 ,$13.91 ,$14.66 ,$5.71 ,$13.91 ,$14.66 
6,$6.84 ,$7.36 ,$8.30 ,$8.75 ,$9.26 ,$9.72 ,$10.66 ,$35.12 ,$5.69 ,$35.12 ,$15.66 ,$16.48 ,$5.86 ,$15.66 ,$16.48 
7,$7.19 ,$7.60 ,$8.47 ,$9.01 ,$9.54 ,$10.00 ,$11.02 ,$37.63 ,$5.77 ,$37.63 ,$17.35 ,$18.25 ,$6.08 ,$17.35 ,$18.25 
8,$7.48 ,$7.84 ,$8.69 ,$9.18 ,$9.85 ,$10.46 ,$11.72 ,$40.29 ,$5.85 ,$40.29 ,$19.08 ,$20.12 ,$6.30 ,$19.08 ,$20.12 
9,$7.69 ,$8.07 ,$8.86 ,$9.41 ,$10.08 ,$11.02 ,$12.48 ,$43.23 ,$5.96 ,$43.23 ,$20.76 ,$21.97 ,$6.51 ,$20.76 ,$21.97 
10,$7.96 ,$8.13 ,$9.02 ,$9.67 ,$10.51 ,$11.82 ,$13.33 ,$45.90 ,$6.04 ,$45.90 ,$22.48 ,$23.81 ,$6.75 ,$22.48 ,$23.81 
11,$8.23 ,$8.50 ,$9.19 ,$9.89 ,$10.93 ,$12.64 ,$14.26 ,$48.69 ,$6.11 ,$48.69 ,$24.17 ,$25.61 ,$6.97 ,$24.17 ,$25.61 
12,$8.47 ,$8.78 ,$9.40 ,$10.12 ,$11.44 ,$13.49 ,$15.30 ,$50.98 ,$6.21 ,$50.98 ,$25.81 ,$27.39 ,$7.24 ,$25.81 ,$27.39 
13,$8.76 ,$9.07 ,$9.56 ,$10.35 ,$11.99 ,$14.35 ,$16.33 ,$53.23 ,$6.28 ,$53.23 ,$27.32 ,$29.06 ,$7.47 ,$27.32 ,$29.06 
14,$8.94 ,$9.36 ,$9.75 ,$10.58 ,$12.65 ,$15.18 ,$17.38 ,$55.66 ,$6.34 ,$55.66 ,$28.74 ,$30.75 ,$7.72 ,$28.74 ,$30.75 
15,$9.13 ,$9.66 ,$9.92 ,$10.84 ,$13.32 ,$16.02 ,$18.41 ,$57.81 ,$6.40 ,$57.81 ,$30.20 ,$32.43 ,$7.96 ,$30.20 ,$32.43 
16,$9.26 ,$9.80 ,$10.07 ,$11.04 ,$13.83 ,$16.71 ,$19.29 ,$60.61 ,$6.47 ,$60.61 ,$31.52 ,$33.97 ,$8.15 ,$31.52 ,$33.97 
17,$9.37 ,$10.12 ,$10.38 ,$11.50 ,$14.53 ,$17.53 ,$20.24 ,$63.07 ,$6.54 ,$63.07 ,$33.04 ,$35.74 ,$8.41 ,$33.04 ,$35.74 
18,$9.49 ,$10.46 ,$10.72 ,$12.09 ,$15.24 ,$18.32 ,$21.27 ,$65.93 ,$6.60 ,$65.93 ,$34.56 ,$37.51 ,$8.63 ,$34.56 ,$37.51 
19,$9.66 ,$10.79 ,$11.12 ,$12.64 ,$15.92 ,$19.12 ,$22.29 ,$68.62 ,$6.68 ,$68.62 ,$36.07 ,$39.26 ,$8.90 ,$36.07 ,$39.26 
20,$9.86 ,$11.15 ,$11.51 ,$13.23 ,$16.61 ,$19.94 ,$23.33 ,$71.16 ,$6.75 ,$71.16 ,$37.52 ,$41.04 ,$9.15 ,$37.52 ,$41.04 
21,$10.09 ,$11.50 ,$11.88 ,$13.79 ,$17.31 ,$20.74 ,$24.32 ,$73.06 ,$6.82 ,$73.06 ,$38.85 ,$42.80 ,$9.41 ,$38.85 ,$42.80 
22,$10.31 ,$11.84 ,$12.30 ,$14.30 ,$18.00 ,$21.55 ,$25.37 ,$75.33 ,$6.87 ,$75.33 ,$40.09 ,$44.47 ,$9.63 ,$40.09 ,$44.47 
23,$10.57 ,$12.19 ,$12.71 ,$14.82 ,$18.67 ,$22.35 ,$26.41 ,$77.62 ,$6.94 ,$77.62 ,$41.35 ,$46.16 ,$9.90 ,$41.35 ,$46.16 
24,$10.81 ,$12.51 ,$13.12 ,$15.32 ,$19.39 ,$23.14 ,$27.43 ,$80.17 ,$7.01 ,$80.17 ,$42.59 ,$47.84 ,$10.15 ,$42.59 ,$47.84 
25,$11.06 ,$12.85 ,$13.49 ,$15.78 ,$20.08 ,$23.92 ,$28.45 ,$82.70 ,$7.07 ,$82.70 ,$43.97 ,$49.49 ,$10.43 ,$43.97 ,$49.49 
26,$11.36 ,$13.16 ,$13.90 ,$16.29 ,$20.82 ,$24.71 ,$29.47 ,$85.52 ,$7.15 ,$85.52 ,$45.32 ,$51.11 ,$10.68 ,$45.32 ,$51.11 
27,$11.63 ,$13.45 ,$14.24 ,$16.78 ,$21.53 ,$25.51 ,$30.50 ,$87.89 ,$7.24 ,$87.89 ,$46.62 ,$52.68 ,$10.96 ,$46.62 ,$52.68 
28,$11.87 ,$13.79 ,$14.68 ,$17.31 ,$22.22 ,$26.30 ,$31.56 ,$90.30 ,$7.29 ,$90.30 ,$47.98 ,$54.29 ,$11.22 ,$47.98 ,$54.29 
29,$12.14 ,$14.05 ,$15.11 ,$17.80 ,$22.94 ,$27.09 ,$32.62 ,$92.83 ,$7.35 ,$92.83 ,$49.32 ,$55.85 ,$11.50 ,$49.32 ,$55.85 
30,$12.44 ,$14.40 ,$15.57 ,$18.33 ,$23.68 ,$27.87 ,$33.68 ,$95.08 ,$7.41 ,$95.08 ,$50.67 ,$57.45 ,$11.73 ,$50.67 ,$57.45 
31,$12.68 ,$14.70 ,$15.97 ,$18.84 ,$24.35 ,$28.66 ,$34.69 ,$97.47 ,$7.49 ,$97.47 ,$52.01 ,$58.98 ,$11.97 ,$52.01 ,$58.98 
32,$12.79 ,$15.00 ,$16.41 ,$19.36 ,$25.05 ,$29.46 ,$35.74 ,$99.58 ,$7.56 ,$99.58 ,$53.27 ,$60.38 ,$12.17 ,$53.27 ,$60.38 
33,$13.05 ,$15.34 ,$16.82 ,$19.89 ,$25.70 ,$30.25 ,$36.75 ,$101.68 ,$7.61 ,$101.68 ,$54.50 ,$61.68 ,$12.38 ,$54.50 ,$61.68 
34,$13.24 ,$15.69 ,$17.23 ,$20.40 ,$26.41 ,$31.04 ,$37.77 ,$103.93 ,$7.71 ,$103.93 ,$55.71 ,$62.90 ,$12.62 ,$55.71 ,$62.90 
35,$13.46 ,$16.05 ,$17.66 ,$20.92 ,$27.09 ,$31.82 ,$38.75 ,$106.49 ,$7.79 ,$106.49 ,$56.77 ,$64.05 ,$12.84 ,$56.77 ,$64.05 
36,$13.71 ,$16.28 ,$18.04 ,$21.44 ,$27.76 ,$32.62 ,$39.68 ,$109.01 ,$7.85 ,$109.01 ,$57.75 ,$65.12 ,$13.04 ,$57.75 ,$65.12 
37,$13.96 ,$16.65 ,$18.43 ,$21.95 ,$28.38 ,$33.41 ,$40.44 ,$111.53 ,$7.91 ,$111.53 ,$58.73 ,$66.17 ,$13.25 ,$58.73 ,$66.17 
38,$14.17 ,$16.91 ,$18.85 ,$22.47 ,$29.02 ,$34.20 ,$41.20 ,$114.19 ,$8.00 ,$114.19 ,$59.70 ,$67.24 ,$13.47 ,$59.70 ,$67.24 
39,$14.36 ,$17.23 ,$19.27 ,$22.98 ,$29.65 ,$34.98 ,$41.96 ,$116.45 ,$8.06 ,$116.45 ,$60.71 ,$68.28 ,$13.65 ,$60.71 ,$68.28 
