Priority Mail International,,,,,,,,,,

Weight Not Over (lb.),1,2,3,4,5,6,7,8,9,10
1,20,20,26.5,25,28,26.5,25.5,24.5,24.5,27.5
2,21.75,23.75,30.75,28.75,31.05,30.75,30.15,28.75,28.25,32.35
3,23.5,27.5,35,32.5,34.1,35,34.8,33,32,37.2
4,25.25,31.25,39.25,36.25,37.15,39.25,39.45,37.25,35.75,42.05
5,27,35,43.5,40,40.2,43.5,44.1,41.5,39.5,46.9
6,28.75,37.75,47.25,43.75,43.25,48.75,48.75,45.75,42.25,52.25
7,30.5,40.5,51,47.5,46.3,54,53.4,50,45,57.6
8,32.25,43.25,54.75,51.25,49.35,59.25,58.05,54.25,47.75,62.95
9,34,46,58.5,55,52.4,64.5,62.7,58.5,50.5,68.3
10,35.75,48.75,62.25,58.75,55.45,69.75,67.35,62.75,53.25,73.65
11,37.5,51,66,62.5,58.5,75,72.4,67.5,57,79
12,39.25,53.25,69.75,66.25,61.55,80.25,77.45,72.25,60.75,84.35
13,41,55.5,73.5,70,64.6,85.5,82.5,77,64.5,89.7
14,42.75,57.75,77.25,73.75,67.65,90.75,87.55,81.75,68.25,95.05
15,44.5,60,81,77.5,70.7,96,92.6,86.5,72,100.4
16,46.25,62.25,84.75,81.25,73.75,101.25,97.65,91.25,75.75,105.75
17,48,64.5,88.5,85,76.8,106.5,102.7,96,79.5,111.1
18,49.75,66.75,92.25,88.75,79.85,111.75,107.75,100.75,83.25,116.45
19,51.5,69,96,92.5,82.9,117,112.8,105.5,87,121.8
20,53.25,71.25,99.75,96.25,85.95,122.25,117.85,110.25,90.75,127.15
21,55,73.5,103.5,100,89,127.5,122.9,115,94.5,132.5
22,56.75,75.75,107.25,103.75,92.05,132.75,127.95,119.75,98.25,137.85
23,58.5,78,111,107.5,95.1,138,133,124.5,102,143.2
24,60.25,80.25,114.75,111.25,98.15,143.25,138.05,129.25,105.75,148.55
25,62,82.5,118.5,115,101.2,148.5,143.1,134,109.5,153.9
26,63.75,84.75,122.25,118.75,104.25,153.75,148.15,138.75,113.25,159.25
27,65.5,87,126,122.5,107.3,159,153.2,143.5,117,164.6
28,67.25,89.25,129.75,126.25,110.35,164.25,158.25,148.25,120.75,169.95
29,69,91.5,133.5,130,113.4,169.5,163.3,153,124.5,175.3
30,70.75,93.75,137.25,133.75,116.45,174.75,168.35,157.75,128.25,180.65
31,72.5,96,141,137.5,119.5,180,173.4,162.5,132,186
32,74.25,98.25,144.75,141.25,122.55,185.25,178.45,167.25,135.75,191.35
33,76,100.5,148.5,145,125.6,190.5,183.5,172,139.5,196.7
34,77.75,102.75,152.25,148.75,128.65,195.75,188.55,176.75,143.25,202.05
35,79.5,105,156,152.5,131.7,201,193.6,181.5,147,207.4
