FedEx Express U.S. Package Retail Counter Rates: FedEx Standard Overnight®,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
FedEx® Envelope up to 8 oz.,$15.10 ,$17.95 ,$21.60 ,$22.75 ,$22.90 ,$24.00 ,$25.15 ,$28.00 ,-,$20.40 
1,$17.40 ,$23.25 ,$30.50 ,$33.85 ,$36.70 ,$39.00 ,$40.15 ,$41.20 ,-,$28.50 
2,$18.90 ,$24.60 ,$34.40 ,$37.40 ,$41.45 ,$43.00 ,$44.75 ,$45.90 ,-,$31.00 
3,$19.95 ,$26.10 ,$38.00 ,$41.45 ,$46.00 ,$47.25 ,$48.95 ,$50.20 ,-,$33.75 
4,$21.55 ,$27.80 ,$41.30 ,$45.15 ,$50.20 ,$51.45 ,$53.45 ,$54.80 ,-,$36.30 
5,$22.35 ,$29.75 ,$45.10 ,$49.00 ,$53.45 ,$54.85 ,$56.80 ,$58.25 ,-,$39.10 
6,$23.45 ,$31.60 ,$48.65 ,$52.25 ,$57.90 ,$58.70 ,$61.25 ,$62.80 ,-,$42.40 
7,$23.80 ,$33.05 ,$52.25 ,$57.15 ,$62.00 ,$63.15 ,$65.35 ,$67.00 ,-,$45.00 
8,$25.05 ,$34.00 ,$55.60 ,$60.80 ,$66.20 ,$67.65 ,$69.55 ,$71.30 ,-,$47.50 
9,$26.35 ,$35.45 ,$58.70 ,$64.75 ,$70.35 ,$72.05 ,$74.00 ,$75.85 ,-,$51.20 
10,$27.15 ,$36.85 ,$61.40 ,$68.10 ,$74.45 ,$76.25 ,$78.50 ,$80.50 ,-,$53.90 
11,$27.85 ,$38.50 ,$64.65 ,$71.80 ,$78.55 ,$80.75 ,$82.65 ,$84.75 ,-,$55.60 
12,$28.85 ,$40.40 ,$68.15 ,$75.10 ,$82.45 ,$85.15 ,$87.05 ,$89.25 ,-,$58.20 
