YOUR ZONE LOCATOR†

For shipments originating in ZIP code(s):
86600-86999

How to use this chart:

Shipping with FedEx distance-based rates is easy
with this Zone Locator specially customized to your
origin location. It shows the zone for anywhere your
FedEx Express® or FedEx Ground® shipment is going.
Here's all you do:

1. Find your recipient's ZIP code in this list using
   either the first three digits or the full ZIP code,
   whichever is shown.
2. See which zone the ZIP code corresponds to,
   then turn to that zone in the appropriate FedEx
   rate tables.
3. Find your rate under the shipment weight and
   FedEx® service you choose.

Effective: 01/17/2009
-------------------------------------------------------------------------------
CONTIGUOUS U.S.
-------------------------------------------------------------------------------
"Destination Zip","Zone",
"000-005","NA",
"010-966","NA",
"970-994","NA",


-------------------------------------------------------------------------------
ALASKA - HAWAII - PUERTO RICO
-------------------------------------------------------------------------------
"Destination Zip","FedEx Express Zone","FedEx Ground Zone",
"006-009","NA","NA",
"96700","12","NA",
"96701","10","NA",
"96702-96705","12","NA",
"96706-96707","10","NA",
"96708","12","NA",
"96709","10","NA",
"96710","12","NA",
"96711-96712","10","NA",
"96713-96716","12","NA",
"96717","10","NA",
"96718-96729","12","NA",
"96730-96731","10","NA",
"96732-96733","12","NA",
"96734","10","NA",
"96735-96743","12","NA",
"96744","10","NA",
"96745-96757","12","NA",
"96758-96759","10","NA",
"96760-96761","12","NA",
"96762","10","NA",
"96763-96774","12","NA",
"96775","10","NA",
"96776-96781","12","NA",
"96782","10","NA",
"96783-96788","12","NA",
"96789","10","NA",
"96790","12","NA",
"96791-96792","10","NA",
"96793","12","NA",
"96794-96795","10","NA",
"96796","12","NA",
"96797","10","NA",
"96798","12","NA",
"96800","12","NA",
"96801-96863","10","NA",
"96864-96899","12","NA",
"969","NA","NA",
"99500","11","NA",
"99501-99524","9","NA",
"99525-99539","11","NA",
"99540","9","NA",
"99541-99566","11","NA",
"99567","9","NA",
"99568-99576","11","NA",
"99577","9","NA",
"99578-99999","11","NA",

-------------------------------------------------------------------------------

Zones differ for FedEx Express and FedEx Ground services outside the contiguous
U.S. Refer to the appropriate service rate guides to determine your shipping costs.

To request a zone locator, go to fedex.com/us/rates/ratetools.html and select“Get zone locator,” or call 1.800.GoFedEx 1.800.463.3339.

†FedEx reserves the right to modify its services and zone structure without notice.

Note: Go to fedex.com for information on FedEx Home Delivery® service.
NA = Not applicable or ZIP code(s) not assigned.
