YOUR ZONE LOCATOR†

For shipments originating in ZIP code(s):
88400-88499

How to use this chart:

Shipping with FedEx distance-based rates is easy
with this Zone Locator specially customized to your
origin location. It shows the zone for anywhere your
FedEx Express® or FedEx Ground® shipment is going.
Here's all you do:

1. Find your recipient's ZIP code in this list using
   either the first three digits or the full ZIP code,
   whichever is shown.
2. See which zone the ZIP code corresponds to,
   then turn to that zone in the appropriate FedEx
   rate tables.
3. Find your rate under the shipment weight and
   FedEx® service you choose.

Effective: 01/17/2009
-------------------------------------------------------------------------------
CONTIGUOUS U.S.
-------------------------------------------------------------------------------
"Destination Zip","Zone",
"000-004","NA",
"005","7",
"010-018","7",
"019","8",
"020-024","7",
"025-026","8",
"027-037","7",
"038-049","8",
"050-142","7",
"143","6",
"144-146","7",
"147","6",
"148-149","7",
"150-165","6",
"166-212","7",
"213","NA",
"214","7",
"215","6",
"216-227","7",
"228-229","6",
"230-239","7",
"240-253","6",
"254","7",
"255-268","6",
"269","NA",
"270-277","6",
"278-279","7",
"280-283","6",
"284-285","7",
"286-324","6",
"325","5",
"326-328","6",
"329-334","7",
"335-338","6",
"339-341","7",
"342","6",
"343","NA",
"344","6",
"345","NA",
"346-347","6",
"348","NA",
"349","7",
"350-352","5",
"353","NA",
"354-359","5",
"360-364","6",
"365-367","5",
"368","6",
"369-372","5",
"373-374","6",
"375","5",
"376-379","6",
"380-397","5",
"398-399","6",
"400-402","5",
"403-418","6",
"419","NA",
"420-424","5",
"425-426","6",
"427","5",
"428-429","NA",
"430-459","6",
"460-464","5",
"465-468","6",
"469","5",
"470","6",
"471","5",
"472-473","6",
"474-479","5",
"480-499","6",
"500-514","5",
"515-516","4",
"517-519","NA",
"520-528","5",
"529","NA",
"530-532","5",
"533","NA",
"534-535","5",
"536","NA",
"537-540","5",
"541-543","6",
"544","5",
"545","6",
"546-551","5",
"552","NA",
"553-567","5",
"568-569","NA",
"570-577","5",
"578-579","NA",
"580-588","5",
"589","NA",
"590-598","5",
"599","6",
"600-620","5",
"621","NA",
"622-631","5",
"632","NA",
"633-639","5",
"640-641","4",
"642-643","NA",
"644-645","4",
"646","5",
"647-649","4",
"650-655","5",
"656-658","4",
"659","NA",
"660-662","4",
"663","NA",
"664-676","4",
"677-679","3",
"680-681","4",
"682","NA",
"683-693","4",
"694-699","NA",
"700-701","5",
"702","NA",
"703-708","5",
"709","NA",
"710-711","4",
"712-714","5",
"715","NA",
"716-717","5",
"718-719","4",
"720-725","5",
"726-731","4",
"732","NA",
"733-734","4",
"735-736","3",
"737","4",
"738-739","3",
"740-741","4",
"742","NA",
"743-769","4",
"770-772","5",
"773","4",
"774-777","5",
"778-782","4",
"783-785","5",
"786-789","4",
"790-791","2",
"792","3",
"793-794","2",
"795-802","3",
"803-805","4",
"806","3",
"807","4",
"808-814","3",
"815-816","4",
"817-819","NA",
"820","4",
"821","5",
"822-823","4",
"824","5",
"825-826","4",
"827-828","5",
"829-831","4",
"832-834","5",
"835","6",
"836-837","5",
"838","6",
"839","NA",
"840-847","4",
"848-849","NA",
"850","4",
"851","NA",
"852-853","4",
"854","NA",
"855-857","4",
"858","NA",
"859-860","4",
"861-862","NA",
"863-864","4",
"865","3",
"866-869","NA",
"870-874","3",
"875","2",
"876","NA",
"877","2",
"878-880","3",
"881-884","2",
"885","3",
"886-888","NA",
"889-891","5",
"892","NA",
"893-895","5",
"896","NA",
"897-898","5",
"899","NA",
"900-908","5",
"909","NA",
"910-928","5",
"929","NA",
"930-939","5",
"940-941","6",
"942","5",
"943-949","6",
"950-953","5",
"954-955","6",
"956-958","5",
"959-960","6",
"961","5",
"962-966","6",
"970-978","6",
"979","5",
"980-986","6",
"987","NA",
"988-994","6",


-------------------------------------------------------------------------------
ALASKA - HAWAII - PUERTO RICO
-------------------------------------------------------------------------------
"Destination Zip","FedEx Express Zone","FedEx Ground Zone",
"006-007","NA","10",
"008","NA","NA",
"009","NA","10",
"96700","12","9",
"96701","10","9",
"96702-96705","12","9",
"96706-96707","10","9",
"96708","12","9",
"96709","10","9",
"96710","12","9",
"96711-96712","10","9",
"96713-96716","12","9",
"96717","10","9",
"96718-96729","12","9",
"96730-96731","10","9",
"96732-96733","12","9",
"96734","10","9",
"96735-96743","12","9",
"96744","10","9",
"96745-96757","12","9",
"96758-96759","10","9",
"96760-96761","12","9",
"96762","10","9",
"96763-96774","12","9",
"96775","10","9",
"96776-96781","12","9",
"96782","10","9",
"96783-96788","12","9",
"96789","10","9",
"96790","12","9",
"96791-96792","10","9",
"96793","12","9",
"96794-96795","10","9",
"96796","12","9",
"96797","10","9",
"96798","12","9",
"96800","12","9",
"96801-96863","10","9",
"96864-96899","12","9",
"969","NA","NA",
"99500","11","17",
"99501-99524","9","17",
"99525-99539","11","17",
"99540","9","17",
"99541-99566","11","17",
"99567","9","17",
"99568-99576","11","17",
"99577","9","17",
"99578-99999","11","17",

-------------------------------------------------------------------------------

Zones differ for FedEx Express and FedEx Ground services outside the contiguous
U.S. Refer to the appropriate service rate guides to determine your shipping costs.

To request a zone locator, go to fedex.com/us/rates/ratetools.html and select“Get zone locator,” or call 1.800.GoFedEx 1.800.463.3339.

†FedEx reserves the right to modify its services and zone structure without notice.

Note: Go to fedex.com for information on FedEx Home Delivery® service.
NA = Not applicable or ZIP code(s) not assigned.
